pagenation,region,hpatitisc-incidence,heptitisc-ir,heptitisc-death,heptitisc-dr,heptitisb-incidence,heptitisb-death,heptitisb-ir,heptitisb-dr,hepatitise-incidence,hepatitise-death,hepatitise-ir,hepatitise-dr,hepatitisa-incidence,hepatitisa-death,hepatitisa-ir,hepatitisa-dr,hepatitis-incidence,hepatitis-death,hepatitis-ir,hepatitis-dr,hepatitisun-incidence,hepatitisun-death,hepatitisun-ir,hepatitisun-dr
14-Jan,新疆,1053,4.6504,0,0,3388,1,14.9627,0.0044,21,0,0.0927,0,347,0,1.5325,0,4881,1,21.5563,0.0044,72,0,0.318,0
15-Oct,河北省,702,0.9507,0,0,4675,2,6.3315,0.0027,60,0,0.0813,0,34,0,0.046,0,5537,2,7.4989,0.0027,66,0,0.0894,0
12-Feb,西??? 藏,5,0.1648,0,0,55,0,1.8133,0,0,0,0,0,8,0,0.2638,0,68,0,2.2419,0,0,0,0,0
11-Dec,上海市,40,0.1738,0,0,357,0,1.5509,0,45,0,0.1955,0,28,0,0.1216,0,508,0,2.2069,0,38,0,0.1651,0
5-Dec,广东省,313,0.3428,0,0,5981,11,6.551,0.012,65,0,0.0712,0,122,0,0.1336,0,6703,11,7.3418,0.012,222,0,0.2432,0
13-Dec,广??? 西,746,1.5933,0,0,2827,2,6.038,0.0043,93,0,0.1986,0,42,0,0.0897,0,3887,2,8.302,0.0043,179,0,0.3823,0
8-May,江苏省,160,0.2098,0,0,1544,1,2.0249,0.0013,231,0,0.303,0,172,0,0.2256,0,2446,1,3.2079,0.0013,339,0,0.4446,0
8-Mar,山西省,412,1.2143,1,0.0029,3949,1,11.6387,0.0029,14,0,0.0413,0,112,0,0.3301,0,4610,2,13.5868,0.0059,123,0,0.3625,0
6-Dec,贵州省,79,0.2118,0,0,1513,2,4.0563,0.0054,4,0,0.0107,0,355,0,0.9517,0,2040,2,5.4692,0.0054,89,0,0.2386,0
9-Apr,河南省,2009,2.1307,4,0.0042,14358,3,15.2275,0.0032,54,0,0.0573,0,369,0,0.3913,0,16910,7,17.934,0.0074,120,0,0.1273,0
10-Jun,黑龙江省,439,1.1474,1,0.0026,1219,4,3.1861,0.0105,26,0,0.068,0,23,0,0.0601,0,1803,5,4.7125,0.0131,96,0,0.2509,0
9-Jul,安徽省,217,0.3537,0,0,2970,9,4.8411,0.0147,92,0,0.15,0,105,1,0.1711,0.0016,3563,10,5.8077,0.0163,179,0,0.2918,0
7-Mar,广??? 西,433,0.9176,0,0,3202,5,6.7853,0.0106,52,0,0.1102,0,185,0,0.392,0,4112,5,8.7137,0.0106,240,0,0.5086,0
10-Feb,江苏省,120,0.1553,0,0,894,0,1.1573,0,421,1,0.545,0.0013,97,0,0.1256,0,1788,1,2.3146,0.0013,256,0,0.3314,0
15-Feb,贵州省,296,0.8438,0,0,1408,0,4.0136,0,36,0,0.1026,0,20,0,0.057,0,1781,0,5.0769,0,21,0,0.0599,0
5-Apr,辽宁省,267,0.6332,1,0.0024,2611,2,6.1917,0.0047,253,2,0.6,0.0047,232,2,0.5502,0.0047,3644,7,8.6414,0.0166,281,0,0.6664,0
4-Apr,全国,3368,0.2591,4,0.0003,83752,57,6.4431,0.0044,1752,4,0.1348,0.0003,8473,3,0.6518,0.0002,105671,84,8.1293,0.0065,8326,16,0.6405,0.0012
11-Dec,西??? 藏,2,0.0667,0,0,60,0,2.0005,0,0,0,0,0,7,0,0.2334,0,71,0,2.3672,0,2,0,0.0667,0
9-Jul,江苏省,166,0.2162,1,0.0013,1322,4,1.722,0.0052,208,0,0.2709,0,134,0,0.1745,0,2170,5,2.8265,0.0065,340,0,0.4429,0
9-May,新疆,714,3.3509,0,0,4261,3,19.9972,0.0141,14,0,0.0657,0,138,0,0.6476,0,5172,3,24.2726,0.0141,45,0,0.2112,0
9-Aug,海南省,49,0.5738,0,0,553,0,6.4754,0,2,0,0.0234,0,21,0,0.2459,0,687,0,8.0445,0,62,0,0.726,0
4-Oct,西藏,0,0,0,0,32,0,1.2253,0,0,0,0,0,68,0,2.6038,0,108,0,4.1354,0,8,0,0.3063,0
8-Jan,江西省,89,0.2038,0,0,3083,4,7.0581,0.0092,31,0,0.071,0,107,0,0.245,0,3473,4,7.951,0.0092,163,0,0.3732,0
11-Oct,福建省,187,0.5069,0,0,3347,3,9.0719,0.0081,70,0,0.1897,0,58,0,0.1572,0,4102,3,11.1182,0.0081,440,0,1.1926,0
16-Dec,辽宁省,638,1.453,0,0,1672,0,3.8078,0,146,0,0.3325,0,161,0,0.3667,0,2710,0,6.1717,0,92,0,0.2095,0
15-Jan,天津市,47,0.3099,0,0,152,0,1.0021,0,9,0,0.0593,0,7,0,0.0461,0,223,0,1.4702,0,8,0,0.0527,0
12-Oct,贵州省,231,0.6659,0,0,1747,1,5.036,0.0029,28,0,0.0807,0,54,0,0.1557,0,2110,1,6.0824,0.0029,50,0,0.1441,0
15-Feb,山东省,278,0.284,0,0,3634,1,3.7122,0.001,108,0,0.1103,0,43,0,0.0439,0,4177,1,4.2668,0.001,114,0,0.1165,0
16-Jan,浙江省,214,0.3885,0,0,1019,0,1.85,0,142,0,0.2578,0,26,0,0.0472,0,1514,0,2.7487,0,113,0,0.2052,0
11-Jun,云南省,480,1.0442,1,0.0022,1953,1,4.2488,0.0022,53,0,0.1153,0,204,0,0.4438,0,2716,2,5.9087,0.0044,26,0,0.0566,0
9-Jun,山东省,125,0.1327,0,0,2904,1,3.0837,0.0011,84,0,0.0892,0,39,0,0.0414,0,3321,1,3.5265,0.0011,169,0,0.1795,0
11-Aug,吉林省,717,2.6108,0,0,1545,1,5.6258,0.0036,21,0,0.0765,0,24,0,0.0874,0,2344,1,8.5352,0.0036,37,0,0.1347,0
5-Nov,山东省,90,0.0979,0,0,3201,3,3.4815,0.0033,38,0,0.0413,0,86,0,0.0935,0,3652,3,3.972,0.0033,237,0,0.2578,0
14-Jan,云南省,815,1.739,1,0.0021,2212,0,4.7198,0,50,0,0.1067,0,77,0,0.1643,0,3167,1,6.7576,0.0021,13,0,0.0277,0
7-Jun,天津市,49,0.4558,0,0,533,0,4.9581,0,34,0,0.3163,0,4,0,0.0372,0,643,0,5.9814,0,23,0,0.214,0
16-May,陕西省,658,1.743,0,0,1754,2,4.6462,0.0053,25,0,0.0662,0,24,0,0.0636,0,2479,2,6.5667,0.0053,17,0,0.045,0
15-Oct,广东省,1720,1.6039,0,0,11673,6,10.8849,0.0056,224,0,0.2089,0,156,0,0.1455,0,13973,7,13.0297,0.0065,200,1,0.1865,0.0009
5-Apr,宁??? 夏,14,0.2375,0,0,801,0,13.5872,0,1,0,0.017,0,59,0,1.0008,0,889,0,15.0799,0,14,0,0.2375,0
10-Oct,海南省,87,1.0069,0,0,528,0,6.1106,0,5,0,0.0579,0,20,0,0.2315,0,702,0,8.1243,0,62,0,0.7175,0
6-Sep,内蒙古,247,1.0352,0,0,2439,0,10.2221,0,11,1,0.0461,0.0042,59,0,0.2473,0,2812,1,11.7854,0.0042,56,0,0.2347,0
5-Dec,河北省,133,0.1953,1,0.0015,3659,1,5.3734,0.0015,48,0,0.0705,0,188,0,0.2761,0,4159,2,6.1076,0.0029,131,0,0.1924,0
14-Jul,广??? 西,838,1.7758,0,0,3198,0,6.7769,0,91,0,0.1928,0,93,0,0.1971,0,4364,0,9.2477,0,144,0,0.3051,0
15-Aug,四川省,786,0.9656,0,0,3428,2,4.2112,0.0025,71,0,0.0872,0,231,0,0.2838,0,4611,2,5.6645,0.0025,95,0,0.1167,0
5-Apr,北京市,82,0.5337,0,0,550,3,3.5799,0.0195,37,0,0.2408,0,34,0,0.2213,0,797,3,5.1876,0.0195,94,0,0.6118,0
4-Jun,宁夏,9,0.1541,0,0,820,0,14.0422,0,2,0,0.0342,0,110,0,1.8837,0,967,0,16.5596,0,26,0,0.4452,0
9-Jan,安徽省,164,0.2673,1,0.0016,3029,1,4.9373,0.0016,120,0,0.1956,0,77,0,0.1255,0,3588,2,5.8484,0.0033,198,0,0.3227,0
5-Mar,西??? 藏,0,0,0,0,33,0,1.2039,0,0,0,0,0,25,0,0.912,0,65,0,2.3713,0,7,0,0.2554,0
12-Dec,河南省,2597,2.7663,0,0,6540,5,6.9663,0.0053,49,0,0.0522,0,119,0,0.1268,0,9359,5,9.9691,0.0053,54,0,0.0575,0
16-Apr,贵州省,397,1.1317,0,0,1424,0,4.0593,0,44,0,0.1254,0,22,0,0.0627,0,1902,0,5.4218,0,13,0,0.0371,0
16-Aug,河北省,684,0.9264,1,0.0014,5053,1,6.8434,0.0014,59,0,0.0799,0,30,0,0.0406,0,5885,2,7.9702,0.0027,58,0,0.0786,0
4-Apr,河南省,423,0.4364,0,0,9702,1,10.0103,0.001,17,0,0.0175,0,769,1,0.7934,0.001,11171,3,11.526,0.0031,260,1,0.2683,0.001
16-Aug,黑龙江省,326,0.8505,1,0.0026,767,0,2.001,0,33,0,0.0861,0,25,0,0.0652,0,1209,1,3.1542,0.0026,57,0,0.1487,0
9-Jul,四川省,409,0.4998,0,0,5876,5,7.1811,0.0061,30,0,0.0367,0,485,1,0.5927,0.0012,7114,6,8.694,0.0073,314,0,0.3837,0
7-Aug,黑龙江省,349,0.9129,1,0.0026,1979,5,5.1766,0.0131,56,0,0.1465,0,65,0,0.17,0,2625,6,6.8663,0.0157,176,0,0.4604,0
14-Mar,北京市,87,0.4114,1,0.0047,147,5,0.6951,0.0236,36,0,0.1702,0,21,0,0.0993,0,296,6,1.3997,0.0284,5,0,0.0236,0
9-Sep,河北省,305,0.4364,0,0,4525,0,6.4746,0,33,0,0.0472,0,50,0,0.0715,0,5001,0,7.1557,0,88,0,0.1259,0
6-Mar,全??? 国,6461,0.4941,20,0.0015,103085,94,7.8838,0.0072,2768,9,0.2117,0.0007,6157,3,0.4709,0.0002,125135,137,9.5701,0.0105,6664,11,0.5097,0.0008
5-Jan,内蒙古,184,0.7747,1,0.0042,2287,2,9.6293,0.0084,1,0,0.0042,0,110,0,0.4632,0,2654,3,11.1746,0.0126,72,0,0.3032,0
8-Jul,重庆市,174,0.6179,0,0,2654,1,9.4247,0.0036,14,0,0.0497,0,190,0,0.6747,0,3120,1,11.0796,0.0036,88,0,0.3125,0
5-May,海南省,18,0.2193,0,0,733,0,8.9317,0,1,0,0.0122,0,110,0,1.3404,0,911,0,11.1007,0,49,0,0.5971,0
16-Jan,海南省,243,2.6896,1,0.0111,966,0,10.692,0,27,0,0.2988,0,5,0,0.0553,0,1264,1,13.9903,0.0111,23,0,0.2546,0
4-Apr,安徽省,68,0.1055,0,0,3121,2,4.8439,0.0031,99,0,0.1537,0,358,0,0.5556,0,4000,2,6.2082,0.0031,354,0,0.5494,0
11-Mar,青海省,143,2.5414,0,0,1206,1,21.4335,0.0178,14,0,0.2488,0,51,0,0.9064,0,1426,1,25.3434,0.0178,12,0,0.2133,0
